,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type_of_PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary_sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,State_Abv,State_Code
10,East Asia and Pacific,Cambodia,Low income,IDA,2005,July,Colben Energy,Colben System ,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Phnom Penh and Sihanoukville,10,National,Not Available,,Not Available,,,2005,100,0,25,25,MW,15,Diesel,,,Direct negotiation,,Asiatic Group (Not Available / 100% / Singapore),Purchase agreements or transmission fees with public entity(ies),,No,No,,,Alfa (Not Available / Not Available / $Not Available),Yes,No,VA,37
11,East Asia and Pacific,Cambodia,Low income,IDA,2007,April,ABC Phnom Penh Biomass Plant,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,"Phum Ang Snoul, Ang Snoul District, Kandal Region, Cambodia",Not Available,National,Not Available,,Not Available,,,2007,100,Not Available,6.33,6.33,MW,2,Biomass,,,License scheme,,Angkor Bio Cogen (ABC) (Not Available / 100% / Cambodia),PPA/WPA payments,,No,No,,,,Yes,No,ME,46
12,East Asia and Pacific,Cambodia,Low income,IDA,2007,September,Kamchay Hydropower Station,,Greenfield project,"Build, operate, and transfer",Active,12/1/2009,Energy,Electricity,Electricity generation,Kampot Province,44,National,Not Available,,Not Available,,,2007,100,0,280,280,MW,193,"Hydro, Large (>50MW)",,Not Available,Competitive bidding,Not Available,Sinohydro (Not Available / 100% / China),PPA/WPA payments,,No,No,,,,Yes,No,KS,50
13,East Asia and Pacific,Cambodia,Low income,IDA,2007,April,Phnom Penh to Battambang Transmission Line,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity transmission,Cambodia,27,National,Not Available,,Not Available,,,2007,100,0,113.4,113.4,KM,302,,,,Direct negotiation,,Yunnan Southeast-Asia Economy and Technology Investment Industrial Company Ltd (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,No,No,,,,Yes,No,AK,22
14,East Asia and Pacific,Cambodia,Low income,IDA,2007,April,Stung Atay River Hydropower Station,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Pursat Province,33,National,Not Available,,Not Available,,,2007,100,0,255.3,255.3,MW,120,"Hydro, Large (>50MW)",,,Direct negotiation,,China Yunnan Corporation For International Techno-Economic Cooperation (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,No,No,,,,Yes,No,MO,33
15,East Asia and Pacific,Cambodia,Low income,IDA,2010,February,Cambodia Energy Limited,Leader - CIID,Greenfield project,"Build, own, and operate",Active,2/1/2010,Energy,Electricity,Electricity generation and transmission,Sihanoukville,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,247,247,MW,100,Coal,,Not Applicable,Competitive bidding,7,Leader Universal Holdings (Not Available / 100% / ..),Purchase agreements or transmission fees with public entity(ies),,No,No,,,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),Yes,No,SD,48
16,East Asia and Pacific,Cambodia,Low income,IDA,2010,February,North Phnom Penh - Kampong Power Transmission,Cambodia Transmission Limited,Greenfield project,"Build, operate, and transfer",Active,2/1/2010,Energy,Electricity,Electricity transmission,Phnom Penh,25,National,Not Available,,Payment Guarantee,Not Available,0,2010,100,Not Available,106.5,106.5,KM,110,Not Applicable,,,Not Available,,Leader Universal Holdings (Not Available / 100% / ..),Purchase agreements or transmission fees with public entity(ies),,No,No,Not Applicable,70/30,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),No,No,ND,32
17,East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Orussei Hydroelectric Power Plant,Orussey,Greenfield project,"Build, operate, and transfer",Active,7/1/2010,Energy,Electricity,Electricity generation,Koh Kong Province,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,558,558,MW,338,"Hydro, Large (>50MW)",,,Direct negotiation,,China Huadian Corporation (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),Yes,No,MA,17
18,East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Stung Russey Chrum Krom Hydropower Plant,Steun Russei Chrum Krom,Greenfield project,"Build, operate, and transfer",Active,7/1/2010,Energy,Electricity,Electricity generation,Koh Kong Province,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,412,412,MW,338,"Hydro, Large (>50MW)",,,Direct negotiation,,China Huadian Corporation (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),Yes,No,FL,25
19,East Asia and Pacific,Cambodia,Low income,IDA,2010,April,Stung Tatay Hydropower Plant,,Greenfield project,"Build, operate, and transfer",Active,4/1/2010,Energy,Electricity,Electricity generation,"Thmar Baing District, Koh Kong Province",42,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,540,540,MW,246,"Hydro, Large (>50MW)",,,Direct negotiation,,China National Heavy Machinery Corporation (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,No,No,,,,Yes,No,AR,6
20,East Asia and Pacific,Cambodia,Low income,IDA,2017,May,Svay Rieng PV Solar Farm,,Greenfield project,"Build, own, and operate",Active,5/15/2017,Energy,Electricity,Electricity generation,Svay Rieng province,Not Available,National,Not Available,,Not Available,,3.3,2017,100,Not Applicable,12.5,12.5,MW,10,"Solar, PV",,Lowest tariff,Competitive bidding,Not Available,Sunseap Group ($3.3 / 100% / ..),Purchase agreements or transmission fees with public entity(ies),,ADB (Loan / $10 Million / 2017),No,9.2,74:26:00,ADB (Multilateral / International / $9.2),No,No,NM,23
21,East Asia and Pacific,Cambodia,Low income,IDA,2018,February,Pestech Power Transmission Line,,Greenfield project,"Build, operate, and transfer",Active,2/8/2018,Energy,Electricity,Electricity transmission,Cambodia,25,National,Not Available,,Not Available,,47.21,2018,100,Not Available,100.21,100.21,KM,220,Other,,,Not Available,,Others ($47.21 / 100% / ..),Not Applicable,,No,No,53,53:47:00,OCBC Bank (Commercial / International / $53),No,No,NE,13
22,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,November,Dapeng Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Dapeng Town, Longgang District, Shenzhen",30,Not Available,Not Available,,Not Available,,,1994,70,0,0,Not Available,MW,285,Diesel,,,Not Available,,Sinolink Worldwide Holdings (Not Available / Not Available% / Bermuda),Not Applicable,,No,No,,,,Yes,No,WV,32
23,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,June,Houjie Power Plant,,Greenfield project,"Build, operate, and transfer",Cancelled,,Energy,Electricity,Electricity generation,"Houjie, Guangdong Province",20,Not Available,Not Available,,Not Available,,,1994,48,0,108,108,MW,66,Diesel,,,Not Available,,Others (Not Available / 48% / ..),Not Applicable,,No,No,,,,Yes,No,WA,19
24,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,October,Huaneng Power International Inc.,Shandong Huaneng Power Co.,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Beijing,Not Available,Not Available,Not Available,,Not Available,,,1994,Not Available,625,0,625,Not Available,Not Available,"Diesel, Coal",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,Lehman Brothers (Not Available / Not Available / $Not Available),Yes,No,UT,3
25,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,October,Huaneng Power International Inc.,Shandong Huaneng Power Co.,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Beijing,Not Available,Not Available,Not Available,,Not Available,,,2001,25,0,235.5,235.5,MW,2900,"Diesel, Coal",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,Lehman Brothers (Not Available / Not Available / $Not Available),Yes,No,WV,12
26,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,October,Huaneng Power International Inc.,Shandong Huaneng Power Co.,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Beijing,Not Available,Not Available,Not Available,,Not Available,,,2003,29.5,0,0,Not Available,Not Available,Not Available,"Diesel, Coal",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,Lehman Brothers (Not Available / Not Available / $Not Available),Yes,No,NE,41
27,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,October,Huaneng Power International Inc.,Shandong Huaneng Power Co.,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Beijing,Not Available,Not Available,Not Available,,Not Available,,,2004,29.5,0,0,Not Available,MW,18832,"Diesel, Coal",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,Lehman Brothers (Not Available / Not Available / $Not Available),Yes,No,IN,38
28,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,December,Hunan Xiangci-AES Hydro Power Co. Ltd.,Cili Misty Mountain,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Cili County, Hunan Province",Not Available,Not Available,Not Available,,Not Available,,,1994,51,0,14,14,MW,26.2,"Hydro, Small (<50MW)",,,Not Available,,AES Corporation (Not Available / 51% / United States),Not Applicable,,No,No,,,,Yes,No,NH,50
29,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,May,Inner Mongolia Mengdian Thermal Power Co.,,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Not Available,Not Available,Not Available,Not Available,,Not Available,,,1994,11,0,0,Not Available,MW,Not Available,Diesel,,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,VA,32
30,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,January,Panyu Hong Kong and China Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,"Panyu, Guangdong Province",50,Not Available,Not Available,,Not Available,,,1994,80,0,0,Not Available,Not Available,Not Available,,,,Not Available,,"Hong Kong and China Gas Company (Not Available / Not Available% / Hong Kong, China)",Not Applicable,,No,No,,,,Yes,No,MA,38
31,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,September,Qinglan Electric Power Plant,Hainan Island Power Plant,Greenfield project,"Build, operate, and transfer",Cancelled,,Energy,Electricity,Electricity generation,Hainan Island,17,Not Available,Not Available,,Not Available,,,1994,100,0,150,150,MW,154,Diesel,,,Not Available,,"Enron (Not Available / 50% / United States), 
Singapore Power (Not Available / 50% / Singapore)",Not Applicable,,MIGA (Guarantee / $17 Million / 1996),No,,,,Yes,No,CA,22
32,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,January,Shantou Electric Power Development Co.,"Guang Dong Wedge Co, Ltd",Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Shantou, Guangdong Province",Not Available,Not Available,Not Available,,Not Available,,,1994,Not Available,80.4,0,80.4,MW,Not Available,,,Not Applicable,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,SD,49
33,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,December,Shenzhen Nanshan Power Station,,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,Shenzhen,Not Available,Not Available,Not Available,,Not Available,,,1994,30,56.7,0,56.7,MW,350,"Natural Gas, Steam",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,VA,21
34,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,June,Zhenjiang Combined Energy Companies Coal Fired Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Zhenjiang,Not Available,Not Available,Not Available,,Not Available,,,1994,100,0,14,14,MW,24,Coal,,,Not Available,,Combined Energy Companies (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,TN,23
35,East Asia and Pacific,China,Upper middle income,Non-IDA,1994,January,Zhongshan Hong Kong and China Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Natural Gas,Natural gas distribution,"Zhongshan, Guangdong Province",50,Not Available,Not Available,,Not Available,,,1994,70,0,0,Not Available,Not Available,Not Available,,,,Not Available,,"Hong Kong and China Gas Company (Not Available / Not Available% / Hong Kong, China)",Not Applicable,,No,No,,,,Yes,No,LA,45
36,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,May,Nanhai Jiangnan Power Co. Ltd.,,Greenfield project,"Build, operate, and transfer",Concluded,,Energy,Electricity,Electricity generation,"Xiqiao, Taiping, Nanhai Municipality, Guangdong Province",10,Not Available,Not Available,,Not Available,,,1995,36,0,30,30,MW,121,Coal,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (Not Available / Not Available% / Hong Kong, China)",Not Applicable,,No,No,,,,Yes,No,RI,2
37,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,April,Nanhai Power Plant I Co. Ltd.,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Xiqia, Xintian, Nanhai Municipality, Guangdong Province",17,Not Available,Not Available,,Not Available,,,1995,30,0,228,228,MW,400,Diesel,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (Not Available / Not Available% / Hong Kong, China)",Not Applicable,,No,No,,,,Yes,No,SD,39
38,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,October,Suzhou Suda Cogeneration Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Suzhou, near Shanghai, Jiangsu Province",Not Available,Not Available,Not Available,,Not Available,,,1995,60,0,29,29,MW,76,Natural Gas,,,Not Available,,Genting Group (Not Available / 60% / Malaysia),Not Applicable,,"MIGA (Guarantee / $18 Million / 1998), 
MIGA (Guarantee / $11 Million / 1999)",No,,,,Yes,No,TN,4
39,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,June,Union Energy Small Coal Fired Plants,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Jiangsu, Zhejiang, and Yunnan provinces",Not Available,Not Available,Not Available,,Not Available,,,1995,Not Available,0,153.4,153.4,Not Available,Not Available,Coal,,,Not Available,,Union Energy (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,VT,24
40,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,June,Union Energy Small Coal Fired Plants,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Jiangsu, Zhejiang, and Yunnan provinces",Not Available,Not Available,Not Available,,Not Available,,,1996,100,0,126.6,126.6,MW,387,Coal,,,Not Available,,Union Energy (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,MO,11
41,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,April,Wuxi Huada Power,,Greenfield project,"Build, operate, and transfer",Concluded,12/1/2010,Energy,Electricity,Electricity generation,"Wuxi City, near Suzhou, Jiangsu Province",15,Not Available,Not Available,,Not Available,,,1995,60,0,26,26,MW,40,Diesel,,Not Applicable,Not Available,,Genting Group (Not Available / 60% / Malaysia),Not Applicable,,MIGA (Guarantee / $14 Million / 1997),No,,,,Yes,No,DE,11
42,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,December,Yangchun Fuyang Diesel Engine Power Co. Ltd.,Yangchun Sun Spring,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Yangchun City, Guangdong Province",Not Available,Not Available,Not Available,,Not Available,,,1995,25,0,4.6,4.6,MW,15,Diesel,,,Not Available,,AES Corporation (Not Available / Not Available% / United States),Not Applicable,,No,No,,,,Yes,No,LA,50
43,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,November,Yongqi Power Plant,Zheqian Power Plant,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Shaoxing County, Shejiang Province",Not Available,Not Available,Not Available,,Not Available,,,1995,70,0,27,27,MW,36,Coal,,,Not Available,,Enserch Corp. (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,GA,45
44,East Asia and Pacific,China,Upper middle income,Non-IDA,1995,December,Zhujiang Power Station II,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Nansha Economic Development Zone, Guangzhou City, Guangdong",25,Not Available,Not Available,,Not Available,,,1995,25,0,416.47,416.47,MW,600,Coal,,,Not Available,,"NWS Holdings Limited (Not Available / Not Available% / Hong Kong, China)",Not Applicable,,No,No,,,,Yes,No,CA,50
45,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,September,Chengdu AES Kaihu Gas Turbine Power Co. Ltd.,Chengdu Lotus City,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Chengdu City, Sichuan Province",Not Available,Not Available,Not Available,,Not Available,,,1996,35,0,18,18,MW,48,Natural Gas,,,Not Available,,AES Corporation (Not Available / 35% / United States),Not Applicable,,No,No,,,,Yes,No,PA,4
46,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,June,Dalian Thermal Power Co.,,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Dalian, Liaoning Province",Not Available,Not Available,Not Available,,Not Available,,,1996,Not Available,90.4,0,90.4,MW,Not Available,Coal,,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,HI,21
47,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,September,Guangdong Zhuhai Power Station Co. Ltd.,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Zhuhai Special Economic Zone, Guangdong Province",25,Not Available,Not Available,,Not Available,,,1996,45,0,1216.3,1216.3,MW,3960,Coal,,,Not Available,,"Cheung Kong Infrastructure Holdings Ltd (Not Available / 45% / Hong Kong, China)",Not Applicable,,No,No,,,"Other Commercial Bank  (Not Available / Not Available / $Not Available), 
Japan Bank for International Cooperation (JBIC) (Not Available / Not Available / $Not Available)",Yes,No,CO,16
48,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,October,Hefei Prosperity Lake Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Hefei City, Anhui Province",Not Available,Not Available,Not Available,,Not Available,,,1996,70,0,64,64,MW,116,Diesel,,,Not Available,,AES Corporation (Not Available / 70% / United States),Not Applicable,,No,No,,,,Yes,No,CT,13
49,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,June,Heilongjiang Electric Power,,Divestiture,Partial,Active,,Energy,Electricity,"Electricity distribution, generation, and transmission",Heilongjiang Province,Not Available,Not Available,Not Available,,Not Available,,,1996,47,74,0,74,MW,Not Available,,,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,TX,28
50,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,December,Henan Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Henan,Not Available,Not Available,Not Available,,Not Available,,,1996,Not Available,0,0,Not Available,MW,50,Diesel,,,Not Available,,Combined Energy Companies (Not Available / Not Available% / ..),Not Applicable,,No,No,,,Local (Not Available / Not Available / $Not Available),Yes,No,MN,39
51,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,September,Hunan Huayin Electric Power Co.,,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Changsha, Hunan Province",Not Available,Not Available,Not Available,,Not Available,,,1996,Not Available,105.3,0,105.3,MW,Not Available,"Hydro, Large (>50MW), Diesel",,,Not Available,,Others (Not Available / Not Available% / ..),Not Applicable,,No,No,,,,Yes,No,VA,17
52,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,June,Jiaozuo Wan Fan Power Co. Ltd.,Jiaozuo Aluminium Power,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Jiazuo City, Henan Province",Not Available,Not Available,Not Available,,Not Available,,,1996,70,0,106,106,MW,250,Coal,,,Not Available,,AES Corporation (Not Available / 70% / United States),Not Applicable,,No,No,,,,Yes,No,RI,1
53,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,December,JIES Heat and Power Co. Ltd.,,Divestiture,Partial,Active,,Energy,Electricity,Electricity generation,"Jiaxing, Zheijiang Province",15,Not Available,Not Available,,Not Available,,,1996,50,0,0,Not Available,MW,36,Coal,,,Not Available,,Alliant Energy (Not Available / 50% / United States),Not Applicable,,No,No,,,,Yes,No,MO,1
54,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,December,Jingyuan 2 Power Co.,"Cian US Power Partners , Gansu Power Plant",Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Gansu Province,20,Not Available,Not Available,,Not Available,,,1996,30,0,337,337,MW,600,Coal,,,Not Available,,PSEG Global Inc. (Not Available / 15% / United States),Not Applicable,,No,No,,,,Yes,No,SC,49
55,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,December,Nanjing City Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Nanjing City,Not Available,Not Available,Not Available,,Not Available,,,1996,80,0,30,30,MW,72,Diesel,,,Not Available,,Genting Group (Not Available / 80% / Malaysia),Not Applicable,,MIGA (Guarantee / $21 Million / 1999),No,,,,Yes,No,ND,29
56,East Asia and Pacific,China,Upper middle income,Non-IDA,1996,October,Sichuan Fuling Aixi Power Co. Ltd.,Aixi Heart River,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Nanching City, Sichuan Province",Not Available,Not Available,Not Available,,Not Available,,,1996,71,0,32,32,MW,50,Coal,,,Not Available,,AES Corporation (Not Available / 71% / United States),Not Applicable,,No,No,,,,Yes,No,MN,6
